Country,Any_mandatory_MF_LF_filing,MF_deadline,MF_filing_req,MF_threshold,LF_deadline,LF_filing_req,LF_threshold,CbCr_notification_deadline,CbCr_filing_deadline,CbCr_threshold,Local_TP_reqs,Local_TP_reqs_deadline,Other
Switzerland,No,,No,,,No,,90 days after the end of the reporting period,Within 12 months following the end of the reporting period,CHF900 million turnover,"No specific TP law; relies on arm's-length principle (Federal Direct Tax Act, Federal Law on Harmonization of Taxes), OECD Guidelines, SFTA circulars, and recent SFTA commentary/guidance. Implicit obligation to prepare documentation (Master File/Local File) to demonstrate arm's length, as these are regularly requested during audits.","Upon request, usually within 30 days (extendable)","No specific TP documentation obligation (Master/Local File), but factually prepared and requested during audits. CbCR penalties: CHF200 per day (max CHF50k) for late filing, up to CHF100k for intentional falsification. No specific TP penalties, but general tax penalties apply, including estimated assessments and 35% withholding tax on constructive dividends. Safe harbor rules for financing/interest rates. APAs/MAPs available (APA tenure typically 5 years, roll-backs possible). Statute of limitations: 5 years (relative), 15 years (absolute), 10 years for reopening fraud cases. High audit scrutiny for intangibles, restructurings, intercompany financing/guarantee fees- adjustments often to median. Domestic TP obligations apply, documentation recommended for material transactions. English accepted for documentation, but official languages preferred."
Taiwan,Yes,"12 months after fiscal year-end (e.g., 31 December)",Yes,Total revenue >= TWD3 billion AND cross-border controlled transactions >= TWD1.5 billion,Within one month of tax authority request,Yes,Total annual revenue > TWD300 million AND total annual controlled transactions > TWD200 million (subject to other specific conditions),31 May (upon filing income tax return),31 December (12 months after fiscal year-end),TWD27 billion annual global income,"Three-tiered documentation (Master File, Local File, CbCR) required; contemporaneous and annual preparation; stand-alone reports for each entity; local language requirements; related-party disclosures in tax return and financial statements",By tax return lodgment date (preparation); within one month of tax authority request (submission),OECD Guidelines recognized; BEPS Action 13 adopted; no penalty protection; penalties for non-compliance; 5-year statute of limitations; APAs and MAPs available; thin capitalization rules (3:1 debt-to-equity)
Tanzania,Yes (Local File for entities with TZS10bn+ related-party transactions),Not applicable,No,Not applicable,By corporate tax return due date (6 months after financial year-end) for TZS10bn+ related-party transactions; within 30 days upon TRA request for others.,Yes (for entities with TZS10bn+ related-party transactions),TZS10 billion aggregate related-party transactions for mandatory filing.,Not applicable,Not applicable,Not applicable,"Contemporaneous documentation required annually, stand-alone reports for each entity, annual benchmarking updates, related-party disclosures in tax return and financial statements. Domestic transactions included.",By corporate tax return due date (6 months after financial year-end).,"TP Regulations 2018 and Guidelines 2020. OECD/UN manuals recognized but local law prevails. Local comparables preferred, multi-year analysis (3 years) preferred. Arm's-length range 35th-60th percentile. Benchmarking every 3 years with annual updates. Penalties for non-compliance (TZS52.5m-TZS70m), 100% tax shortfall for arm's-length principle non-compliance. Statute of limitations 5 years. APAs available but none completed. Thin capitalization 7:3 debt-to-equity ratio. Public CbCR not applicable."
Thailand,Yes,,No,,,"Upon request (60 days, or 180 days for first request)",Yes,THB200 million,Before CbCR submission (within 12 months after year-end),12 months after year-end (UPE); 60 days upon request (subsidiary),THB28 billion,Thai Revenue Code and various Ministerial Regulations and Director-General Notifications,"150 days after year-end (158 days for e-filing) / Regulations effective 2019. Covers domestic and cross-border transactions. Local File must be in Thai. No penalty protection. Penalties for non-compliance (up to THB200k for TP doc, THB2k for CbCR, up to 200% + 1.5%/month for adjustments). Statute of limitations 5 years. APAs and MAP available. Benchmarking study exemptions apply."
Togo,No,By time of tax audit,No,Not applicable,By time of tax audit (15 days upon request),No,"XOF1,000,000,000 (EUR1,524,490) annual turnover excluding taxes or gross assets",Not applicable,31 December,EUR750 million (XOF492 billion) consolidated group revenue,"TP documentation (Local File), TP form/return, CbCR. Documentation prepared contemporaneously in French, provided upon audit.",TP Return: 30 April/30 May; TP Documentation: By time of tax audit (15 days upon request); CbCR: 31 December,"Largely relies on OECD TP Guidelines; BEPS Action 13 adopted. Thin capitalization rules apply (interest rate, paid-up capital, 30% EBITDA limit). Penalties for non-compliance. No Public CbCR."
Tunisia,"No, submitted upon audit request",40 days from start of tax audit,"Yes, upon audit request","Annual sales >= TND200 million; cross-border transaction amount >= TND100,000 per category",40 days from start of tax audit,"Yes, upon audit request","Annual sales >= TND200 million; cross-border transaction amount >= TND100,000 per category",31 December (12 months after fiscal year-end),31 December (12 months after fiscal year-end),Annual consolidated sales >= TND1.636 million,"Various Income Tax Acts and rulings (PCITC, CFRP)",Annual TP return: 25 March; Documentation: 40 days from start of tax audit,"Domestic transactions excluded. OECD-inspired regulations, BEPS Action 13 adopted. APAs and MAP available. Penalties apply. Local language (Arabic/French) preferred, Master File in English accepted."
Turkiye,"No, only upon request",31 December (following year-end),"Yes, for MNEs with net sales and assets > TRY500 million",TRY500 million (net sales and assets),"30 April (following fiscal year-end, with CIT return)","Yes, for taxpayers with cross-border transactions (and domestic for large taxpayers)",None,30 June,31 December (12 months after fiscal period end),EUR750 million,"Various Corporate Tax Code articles, Cabinet decrees, Ministry of Finance Communiqués, TRA guidance, and Presidential Decisions","Effective from 21 June 2006, with significant updates effective 1 January 2019 and 25 February 2020",Domestic TP documentation for large taxpayers- OECD Guidelines referenced but not fully aligned- 50% penalty protection for timely/complete documentation- local language required- specific TP return for all related-party transactions- thin capitalization rules (3-1 debt-to-equity ratio)
Uganda,Yes (Local File),No,,By tax return lodgment date,Yes,,,,,"Local File required annually, stand-alone reports for each entity, documentation in English, available by tax return due date. Related-party disclosures in financial statements.",By tax return lodgment date or within 30 days of request,"OECD Guidelines followed but domestic law takes precedence. UGX500M threshold for domestic related-party transactions. Penalties for non-compliance (fine, imprisonment, UGX50M for failure to provide records within 30 days of request). 20% penalty on shortfall if provisional tax < 90% of actual. 2% monthly interest on outstanding tax. 3-year statute of limitations. APAs available. Thin capitalization rule (30% tax EBITDA interest cap).",
Ukraine,Yes,Within 90 days upon request,Upon request,EUR50 million annual consolidated group revenue,Within 30 days upon request,Upon request,Taxpayer revenue > UAH150 million AND transaction volume with each counterparty > UAH10 million,1 October of the year following the reporting year,Within 12 months after the end of the reporting year (by 31 December),EUR750 million annual consolidated group revenue,"Ukrainian Tax Code (Article 39, etc.) regulates TP, requiring annual Local File (upon request), Master File (upon request), CbCR, and a report on controlled transactions. OECD methods are followed with CUP priority. Local comparables, interquartile range, annual fresh benchmarking, and weighted average results are required. Thin capitalization rules apply.",Within 30 days upon tax authority request,"Ukraine adopted BEPS Action 13 (MF, LF, CbCR) effective 2021. Significant differences exist between OECD and local templates for CbCR and Local File. Documentation must be in Ukrainian. TP adjustments to upper/lower quartile (taxpayer) or median (tax authority). Statute of limitations is 7 years, suspended 2020-2023. APAs (up to 5 years, roll-back) and MAP are available. Penalties apply for non-compliance."
United Arab Emirates,No (upon request),Within 30 days of FTA request,"Yes, based on thresholds",AED3.15 billion (approx. USD850 million) consolidated group revenue OR AED200 million or more local entity revenue. Also applies to Qualifying Free Zone Persons regardless of revenue.,Within 30 days of FTA request,"Yes, based on thresholds",AED3.15 billion (approx. USD850 million) consolidated group revenue OR AED200 million or more local entity revenue. Also applies to Qualifying Free Zone Persons regardless of revenue.,Last day of the reporting fiscal year of the MNE.,12 months after the last day of the reporting fiscal year of the MNE group.,Global consolidated group revenue exceeding AED3.15 billion (approx. USD850 million).,"Arm's-length principle, related party definitions, and documentation (Master File, Local File, CbCR) are required. Documentation must be prepared contemporaneously and annually, with stand-alone reports for each entity. Applies to domestic and cross-border related-party transactions.","Contemporaneously with the tax return, prior to its submission (no later than 9 months from the end of the relevant tax period).",TP disclosure form required with corporate tax return. APAs available from Q4 2025. Interest deduction limitations apply. Local comparables and multiyear analysis preferred for benchmarking. Benchmarking searches updated every 3 years.
United Kingdom,"Yes, for MNEs meeting CbCR threshold (EUR750M consolidated group revenue)",30 days upon request,Upon request,EUR750 million consolidated group revenue,30 days upon request,Upon request,EUR750 million consolidated group revenue,Not applicable (removed from 26 July 2023),12 months after the end of the accounting period,EUR750 million annual global income,"Mandatory Master File and Local File for MNEs above EUR750M CbCR threshold (effective 1 April 2023). Annual review/update required. Specific HMRC guidance (Guidelines for Compliance 7, Risk Control Guidance) emphasizes UK localization, risk analysis, and impacts penalty assessment. SME exemption exists but is under review. Domestic transactions generally exempt unless specific conditions apply.",Before submitting the annual corporate tax return (within 12 months after accounting period end),"Diverted Profits Tax (DPT) applies (6% higher rate than CT), under review for integration into CT. SME exemption for medium-sized enterprises under review. Penalties for non-compliance (up to GBP3,000 for records, up to 100% tax-geared for inaccuracies, presumption of carelessness for missing MF/LF). Statute of limitations 4-20 years. APAs and MAP available. Thin capitalization based on arm's-length principle. Public CbCR not applicable."
United States,No,,No,,,No,,,With tax return for the respective year,USD850 million (annual global income),"Contemporaneous documentation is recommended for penalty protection, to be provided within 30 days of IRS request. It includes business overview, organizational structure, IRC § 482 documents, pricing method analysis, transaction descriptions, comparables, economic analysis, and an index.",Preparation by tax return lodgment date; submission within 30 days of IRS request.,"Key regulations include IRC § 482, § 6662, and TCJA provisions (BEAT, FDII, GILTI). TP documentation is annual for penalty protection. Specific TP returns (Forms 5471, 5472, 8865, 8975) are required. Penalties up to 40% for valuation misstatements. Statute of limitations is 3-6 years. APAs are available. Thin capitalization rules (IRC § 163(j)) apply."
Uruguay,Yes,Not specified,Yes,Not specified in regulations- tax authorities- position is no threshold applies.,9 months after fiscal year-end,"Yes, if threshold met","Total intercompany transactions >= 50 million indexed units (approx. USD7,100,000)",End of the reporting FY of the group,12 months after the end of the reporting FY of the group,EUR750 million consolidated revenue,"Annual TP documentation (Local File, Master File on request) in Spanish, contemporaneous. Specific TP return (Form 3001) and related-party disclosures. Mandatory CUP for agro-commodities. Local/LatAm comparables preferred. Specific interquartile range.",Preparation 9 months after FYE- preliminary analysis 4 months after FYE,"BEPS Action 13 adopted, but local CbCR/Master File/Local File have specific formats. BEPS Action 13 report not sufficient for penalty protection. Penalties up to USD290,000 and tax certificate suspension. APAs available but procedures undefined."
Venezuela,No,,No,,Upon request (2-5 working days),Yes,,,,,"Annual TP documentation preparation, local language, individual testing, Form PT-99 filing, thin capitalization rules, Venezuelan ITL Articles 109-168, OECD Guidelines apply where ITL is silent.",Form PT-99: 6 months after fiscal year-end; TP documentation: 2-5 working days upon request.,OECD Guidelines largely relied upon; BEPS Action 13 not adopted; penalties for non-compliance; 6-year statute of limitations (10 years for non-filing); APAs available but not used; no Public CbCR.
Vietnam,No,Upon tax authority's request,Yes,"Exempt if revenue < VND50bn & related-party transactions < VND30bn; OR simple functions, sales < VND200bn & specific profit ratios; OR only domestic related parties with same CIT rate & no incentives.",Preparation by CIT return deadline (last day of 3rd month from FYE); submission upon request,Yes,"Exempt if revenue < VND50bn & related-party transactions < VND30bn; OR simple functions, sales < VND200bn & specific profit ratios; OR only domestic related parties with same CIT rate & no incentives.",No later than fiscal year end of UPE (if appointing another entity to file),No later than 12 months from fiscal year end of UPE,"VND18,000 billion annual global consolidated revenue","Annual preparation of Master File and Local File (in local language, stand-alone for each entity), submitted upon request. Disclosure appendices (I, II, III, IV) filed with annual CIT return. Contemporaneous preparation required.",Preparation by CIT return deadline (last day of 3rd month from FYE); Disclosure appendices by CIT return deadline; Documentation submission upon request.,"BEPS Action 13 adopted. OECD Guidelines are reference, not official. Domestic transactions covered (with exemptions). Penalties for non-compliance include administrative fines, 20% of additional tax, up to 3x for evasion, plus interest. Downward adjustments to reduce tax liability prohibited. APAs and MAP available. No specific thin capitalization rules."
Zambia,No,Not applicable,No,Not applicable,Preparation by tax return lodgment date (21 June)- submission within 30 days of request.,No,ZMW50 million annual net turnover for local entities- no threshold for MNEs.,By or before the reporting fiscal year-end of the MNE group,Within 12 months following the reporting fiscal year-end of the MNE group,"ZMW4,795 million annual global income (equivalent to EUR750 million as of Jan 2015).","Contemporaneous TP documentation required annually for MNEs (no threshold) and local entities (ZMW50m turnover). Documentation must be prepared by tax return due date, submitted within 30 days upon request. Related-party disclosures required with tax return. Safe harbor for low-value-added services (cost plus 5%). Individual transaction testing preferred. Statute of limitations is 10 years.",By tax return lodgment date (21 June).,"TP rules apply to domestic transactions. Relies on OECD TP Guidelines, but local regulations prevail. Not MCAA signatory for CbCR. Related-party disclosures required with tax return, including new related companies within a month. Penalties for non-compliance up to ZMW32 million. No formal APA program, but MAP is available. Thin capitalization rules apply (30% EBITDA interest limit). No Public CbCR."
Zimbabwe,Yes,,No,,,By CIT filing date (30 April for Dec year-ends); submitted within 7 days upon request.,Yes,,,,,"Local TP documentation required annually, contemporaneously, in English, available within 7 days upon request. Stand-alone reports per entity. Individual testing preferred. Specific TP return (ITF 12C 2) and related-party disclosures required with CIT return and in financial statements. Based on Income Tax Act and SI 109 of 2019.","TP return by 30 April (with CIT return). TP documentation prepared by CIT filing date (30 April for Dec year-ends) and submitted within 7 days upon request. / Relies on OECD TP Guidelines for interpretation. Has not adopted BEPS Action 13 or signed MCAA. Penalties for non-compliance range from 10% to 100% of shortfall tax liability. Statute of limitations is 6 years (longer for fraud). TP audits are common, adjustments to the median. Specific transactions/industries (e.g., management fees, mining, perpetual losses) trigger audits. APAs not available. MAP available with DTA countries. Thin capitalization rule: 3:1 debt-to-equity ratio. No PCbCR. Local comparables and multiyear analysis preferred for benchmarking."
